DATAFLOW,LAST UPDATE,freq,reason,citizen,duration,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Czechia,2021,74395,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Czechia,2022,53809,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Czechia,2023,43792,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Germany,2012,184070,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Germany,2013,199925,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Germany,2014,237627,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Germany,2015,194813,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Germany,2016,504849,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Germany,2017,535446,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Germany,2018,543571,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Germany,2019,460340,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Germany,2020,312669,b,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Germany,2021,511147,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Germany,2022,632187,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Germany,2023,586144,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Denmark,2012,24812,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Denmark,2013,31308,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Denmark,2014,35881,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Denmark,2015,46147,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Denmark,2016,41405,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Denmark,2017,37091,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Denmark,2018,35301,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Denmark,2019,35037,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Denmark,2020,23853,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Denmark,2021,28149,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Denmark,2022,40467,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Denmark,2023,42805,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Estonia,2012,2530,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Estonia,2013,2496,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Estonia,2014,3222,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Estonia,2015,3984,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Estonia,2016,4308,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Estonia,2017,4380,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Estonia,2018,5143,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Estonia,2019,6200,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Estonia,2020,4992,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Estonia,2021,6549,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Estonia,2022,8425,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Estonia,2023,8459,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Greece,2012,16252,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Greece,2013,18299,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Greece,2014,22451,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Greece,2015,37464,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Greece,2016,44072,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Greece,2017,29995,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Greece,2018,35571,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Greece,2019,42348,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Greece,2020,19821,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Greece,2021,47589,b,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Greece,2022,58889,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Greece,2023,70921,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Spain,2012,223318,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Spain,2013,196244,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Spain,2014,189481,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Spain,2015,192931,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Spain,2016,211533,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Spain,2017,231153,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Spain,2018,259600,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Spain,2019,320037,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Spain,2020,312355,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Spain,2021,371773,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Spain,2022,455553,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Spain,2023,548697,b,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,European Union - 27 countries (from 2020),2013,1633598,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,European Union - 27 countries (from 2020),2014,1759841,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,European Union - 27 countries (from 2020),2015,1991479,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,European Union - 27 countries (from 2020),2016,2494483,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,European Union - 27 countries (from 2020),2017,2699485,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,European Union - 27 countries (from 2020),2018,2788760,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,European Union - 27 countries (from 2020),2019,3023706,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,European Union - 27 countries (from 2020),2020,2294305,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,European Union - 27 countries (from 2020),2021,3283409,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,European Union - 27 countries (from 2020),2022,3576621,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,European Union - 27 countries (from 2020),2023,3741015,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Finland,2012,20263,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Finland,2013,21122,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Finland,2014,21552,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Finland,2015,21797,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Finland,2016,28792,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Finland,2017,25141,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Finland,2018,22508,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Finland,2019,31868,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Finland,2020,24752,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Finland,2021,34327,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Finland,2022,49774,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Finland,2023,54178,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,France,2012,199500,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,France,2013,214346,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,France,2014,220599,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,France,2015,228687,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,France,2016,237218,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,France,2017,254634,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,France,2018,267426,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,France,2019,287443,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,France,2020,237134,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,France,2021,287179,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,France,2022,326948,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,France,2023,335074,p,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Croatia,2013,3320,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Croatia,2014,3334,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Croatia,2015,3433,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Croatia,2016,5315,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Croatia,2017,9733,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Croatia,2018,26307,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Croatia,2019,50455,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Croatia,2020,35138,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Croatia,2021,33580,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Croatia,2022,57330,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Croatia,2023,81347,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Hungary,2012,13282,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Hungary,2013,16833,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Hungary,2014,21188,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Hungary,2015,20751,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Hungary,2016,22842,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Hungary,2017,32229,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Hungary,2018,55739,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Hungary,2019,62073,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Hungary,2020,54835,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Hungary,2021,58115,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Hungary,2022,68672,,
