DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Bulgaria,2015,100.00,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Bulgaria,2016,98.68,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Bulgaria,2017,99.85,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Bulgaria,2018,102.48,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Bulgaria,2019,104.99,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Bulgaria,2020,106.27,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Bulgaria,2021,109.30,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Bulgaria,2022,123.52,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Bulgaria,2023,134.15,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Bulgaria,2024,137.63,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2013,100.83,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2014,100.84,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2015,100.00,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2016,99.47,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2017,100.11,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2018,101.03,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2019,101.41,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2020,100.56,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2021,101.04,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2022,103.74,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2023,106.10,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2024,107.25,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2013,101.84,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2014,101.57,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2015,100.00,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2016,98.78,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2017,99.45,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2018,100.23,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2019,100.78,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2020,99.67,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2021,101.92,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2022,110.17,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2023,114.50,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2024,117.09,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Czechia,2013,99.3,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Czechia,2014,99.8,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Czechia,2015,100.0,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Czechia,2016,100.7,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Czechia,2017,103.1,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Czechia,2018,105.1,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Czechia,2019,107.8,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Czechia,2020,111.4,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Czechia,2021,115.1,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Czechia,2022,132.1,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Czechia,2023,147.9,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Czechia,2024,151.9,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Germany,2013,98.6,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Germany,2014,99.3,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Germany,2015,100.0,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Germany,2016,100.4,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Germany,2017,102.1,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Germany,2018,104.0,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Germany,2019,105.5,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Germany,2020,105.8,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Germany,2021,109.2,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Germany,2022,118.7,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Germany,2023,125.9,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Germany,2024,129.0,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Denmark,2013,99.4,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Denmark,2014,99.8,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Denmark,2015,100.0,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Denmark,2016,100.0,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Denmark,2017,101.1,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Denmark,2018,101.8,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Denmark,2019,102.5,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Denmark,2020,102.9,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Denmark,2021,104.9,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Denmark,2022,113.8,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Denmark,2023,117.6,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Denmark,2024,119.1,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Euro area - 19 countries  (2015-2022),2013,99.38,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Euro area - 19 countries  (2015-2022),2014,99.81,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Euro area - 19 countries  (2015-2022),2015,100.00,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Euro area - 19 countries  (2015-2022),2016,100.23,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Euro area - 19 countries  (2015-2022),2017,101.78,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Euro area - 19 countries  (2015-2022),2018,103.56,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Euro area - 19 countries  (2015-2022),2019,104.80,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Euro area - 19 countries  (2015-2022),2020,105.06,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Euro area - 19 countries  (2015-2022),2021,107.78,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Euro area - 19 countries  (2015-2022),2022,116.82,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Euro area - 19 countries  (2015-2022),2023,123.14,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Euro area - 19 countries  (2015-2022),2024,126.03,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Euro area – 20 countries (from 2023),2013,99.39,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Euro area – 20 countries (from 2023),2014,99.81,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Euro area – 20 countries (from 2023),2015,100.00,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Euro area – 20 countries (from 2023),2016,100.23,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Euro area – 20 countries (from 2023),2017,101.77,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Euro area – 20 countries (from 2023),2018,103.55,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Euro area – 20 countries (from 2023),2019,104.79,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Euro area – 20 countries (from 2023),2020,105.05,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Euro area – 20 countries (from 2023),2021,107.77,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Euro area – 20 countries (from 2023),2022,116.83,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Euro area – 20 countries (from 2023),2023,123.17,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Euro area – 20 countries (from 2023),2024,126.08,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Estonia,2013,99.46,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Estonia,2014,99.93,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Estonia,2015,100.00,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Estonia,2016,100.80,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Estonia,2017,104.48,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Estonia,2018,108.05,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Estonia,2019,110.50,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Estonia,2020,109.80,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Estonia,2021,114.72,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Estonia,2022,137.03,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Estonia,2023,149.52,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Estonia,2024,155.10,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Greece,2013,102.54,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Greece,2014,101.11,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Greece,2015,100.00,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Greece,2016,100.02,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Greece,2017,101.15,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Greece,2018,101.94,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Greece,2019,102.46,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Greece,2020,101.17,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Greece,2021,101.75,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Greece,2022,111.21,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Greece,2023,115.84,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Greece,2024,119.31,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Spain,2013,100.83,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Spain,2014,100.63,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Spain,2015,100.00,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Spain,2016,99.66,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Spain,2017,101.69,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Spain,2018,103.46,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Spain,2019,104.26,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Spain,2020,103.91,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Spain,2021,107.04,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Spain,2022,115.95,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Spain,2023,119.89,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Spain,2024,123.33,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,European Union - 27 countries (from 2020),2013,99.49,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,European Union - 27 countries (from 2020),2014,99.89,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,European Union - 27 countries (from 2020),2015,100.00,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,European Union - 27 countries (from 2020),2016,100.18,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,European Union - 27 countries (from 2020),2017,101.74,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,European Union - 27 countries (from 2020),2018,103.57,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,European Union - 27 countries (from 2020),2019,105.04,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,European Union - 27 countries (from 2020),2020,105.76,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,European Union - 27 countries (from 2020),2021,108.82,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,European Union - 27 countries (from 2020),2022,118.82,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,European Union - 27 countries (from 2020),2023,126.38,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,European Union - 27 countries (from 2020),2024,129.67,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Finland,2013,98.96,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Finland,2014,100.16,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Finland,2015,100.00,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Finland,2016,100.39,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Finland,2017,101.23,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Finland,2018,102.42,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Finland,2019,103.58,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Finland,2020,103.98,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Finland,2021,106.12,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Finland,2022,113.74,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Finland,2023,118.67,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Finland,2024,119.83,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,France,2013,99.31,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,France,2014,99.91,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,France,2015,100.00,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,France,2016,100.31,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,France,2017,101.47,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,France,2018,103.60,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,France,2019,104.95,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,France,2020,105.50,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,France,2021,107.68,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,France,2022,114.04,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,France,2023,120.50,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,France,2024,123.29,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Croatia,2013,100.04,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Croatia,2014,100.26,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Croatia,2015,100.00,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Croatia,2016,99.37,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Croatia,2017,100.67,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Croatia,2018,102.23,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Croatia,2019,103.04,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Croatia,2020,103.06,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Croatia,2021,105.82,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Croatia,2022,117.11,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Croatia,2023,126.94,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Croatia,2024,132.04,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Hungary,2013,99.92,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Hungary,2014,99.94,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Hungary,2015,100.00,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Hungary,2016,100.45,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Hungary,2017,102.84,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Hungary,2018,105.84,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Hungary,2019,109.46,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Hungary,2020,113.15,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Hungary,2021,119.04,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Hungary,2022,137.22,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Hungary,2023,160.59,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Hungary,2024,166.56,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Ireland,2013,99.7,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Ireland,2014,100.0,,
ESTAT:TEC00027(1.0),19/03/25 11:00:00,Annual,Annual average index,All-items HICP,Ireland,2015,100.0,,
