STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,citizen,Country of citizenship,sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2022-09,,56245,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2022-10,,55205,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2022-11,,60050,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2022-12,,61760,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2023-01,,61100,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2023-02,,62165,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2023-03,,63085,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2023-04,,63930,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2023-05,,64950,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2023-06,,66125,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2023-07,,67125,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2023-08,,68500,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2023-09,,69770,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2023-10,,71070,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2023-11,,72085,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2023-12,,72970,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2024-01,,74115,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2024-02,,75075,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2024-03,,75985,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2024-04,,76935,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2024-05,,77875,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2024-06,,78730,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2024-07,,80090,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2024-08,,81510,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2024-09,,82805,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2024-10,,83930,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2024-11,,84685,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2024-12,,85485,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2025-01,,86530,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2025-02,,87285,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BE,Belgium,2025-03,,87770,,,,,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BG,Bulgaria,2022-03,,30505,,d,definition differs (see metadata),,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BG,Bulgaria,2022-04,,92030,,d,definition differs (see metadata),,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BG,Bulgaria,2022-05,,111895,,d,definition differs (see metadata),,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BG,Bulgaria,2022-06,,118810,,d,definition differs (see metadata),,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BG,Bulgaria,2022-07,,125275,,d,definition differs (see metadata),,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BG,Bulgaria,2022-08,,129755,,d,definition differs (see metadata),,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BG,Bulgaria,2022-09,,134235,,d,definition differs (see metadata),,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BG,Bulgaria,2022-10,,141480,,d,definition differs (see metadata),,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BG,Bulgaria,2022-11,,144315,,d,definition differs (see metadata),,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BG,Bulgaria,2022-12,,146805,,d,definition differs (see metadata),,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BG,Bulgaria,2023-01,,149200,,d,definition differs (see metadata),,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BG,Bulgaria,2023-02,,150980,,d,definition differs (see metadata),,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BG,Bulgaria,2023-03,,152930,,d,definition differs (see metadata),,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BG,Bulgaria,2023-04,,154380,,d,definition differs (see metadata),,
dataflow,ESTAT:MIGR_ASYTPSM(1.0),"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,UA,Ukraine,T,Total,TOTAL,Total,BG,Bulgaria,2023-05,,157010,,d,definition differs (see metadata),,
