DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,European Union - 27 countries (from 2020),2019,1.53,bep,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,European Union - 27 countries (from 2020),2020,1.51,bep,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,European Union - 27 countries (from 2020),2021,1.53,ep,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,European Union - 27 countries (from 2020),2022,1.46,bep,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,European Union - 27 countries (from 2020),2023,1.38,bep,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Finland,2012,1.80,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Finland,2013,1.75,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Finland,2014,1.71,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Finland,2015,1.65,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Finland,2016,1.57,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Finland,2017,1.49,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Finland,2018,1.41,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Finland,2019,1.35,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Finland,2020,1.37,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Finland,2021,1.46,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Finland,2022,1.32,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Finland,2023,1.26,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,France,2012,2.01,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,France,2013,1.99,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,France,2014,2.00,b,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,France,2015,1.96,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,France,2016,1.92,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,France,2017,1.89,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,France,2018,1.87,p,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,France,2019,1.86,p,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,France,2020,1.83,p,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,France,2021,1.83,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,France,2022,1.78,p,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,France,2023,1.66,p,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Metropolitan France,2012,1.99,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Georgia,2014,1.97,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Georgia,2015,2.21,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Georgia,2016,2.23,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Georgia,2017,2.14,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Georgia,2018,2.09,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Georgia,2019,2.02,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Georgia,2020,1.98,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Georgia,2022,1.83,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Georgia,2023,1.71,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Croatia,2012,1.51,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Croatia,2013,1.46,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Croatia,2014,1.46,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Croatia,2015,1.40,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Croatia,2016,1.42,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Croatia,2017,1.42,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Croatia,2018,1.47,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Croatia,2019,1.47,,
