reason,citizen,geo,year,Illegal Third Country Nationals
Illegal entry,Albania,Croatia,2021,135.0
Illegal entry,Albania,Croatia,2022,90.0
Illegal entry,Albania,Croatia,2023,160.0
Illegal entry,Albania,Hungary,2021,130.0
Illegal entry,Albania,Hungary,2022,190.0
Illegal entry,Albania,Hungary,2023,95.0
Illegal entry,Albania,Italy,2021,3660.0
Illegal entry,Albania,Italy,2022,4470.0
Illegal entry,Albania,Italy,2023,5655.0
Illegal entry,Albania,Liechtenstein,2021,5.0
Illegal entry,Albania,Luxembourg,2023,10.0
Illegal entry,Albania,Latvia,2022,5.0
Illegal entry,Albania,Latvia,2023,5.0
Illegal entry,Albania,Montenegro,2021,30.0
Illegal entry,Albania,Montenegro,2022,55.0
Illegal entry,Albania,Netherlands,2021,95.0
Illegal entry,Albania,Netherlands,2022,35.0
Illegal entry,Albania,Netherlands,2023,50.0
Illegal entry,Albania,Norway,2022,10.0
Illegal entry,Albania,Norway,2023,10.0
Illegal entry,Albania,Poland,2021,5.0
Illegal entry,Albania,Poland,2022,10.0
Illegal entry,Albania,Poland,2023,10.0
Illegal entry,Albania,Slovenia,2021,40.0
Illegal entry,Albania,Slovenia,2022,35.0
Illegal entry,Albania,Slovenia,2023,125.0
Illegal entry,Albania,Slovakia,2022,5.0
Illegal entry,Albania,Slovakia,2023,10.0
Illegal entry,Armenia,Switzerland,2020,10.0
Illegal entry,Armenia,Switzerland,2021,10.0
Illegal entry,Armenia,Switzerland,2022,5.0
Illegal entry,Armenia,Switzerland,2023,10.0
Illegal entry,Armenia,Cyprus,2023,5.0
Illegal entry,Armenia,Czechia,2022,5.0
Illegal entry,Armenia,Czechia,2023,15.0
Illegal entry,Armenia,Germany,2022,235.0
Illegal entry,Armenia,Germany,2023,255.0
Illegal entry,Armenia,Estonia,2023,5.0
Illegal entry,Armenia,Greece,2021,10.0
Illegal entry,Armenia,Greece,2022,20.0
Illegal entry,Armenia,Greece,2023,35.0
Illegal entry,Armenia,France,2021,15.0
Illegal entry,Armenia,France,2022,15.0
Illegal entry,Armenia,France,2023,15.0
Illegal entry,Armenia,Croatia,2022,10.0
Illegal entry,Armenia,Croatia,2023,5.0
Illegal entry,Armenia,Hungary,2022,25.0
Illegal entry,Armenia,Hungary,2023,25.0
Illegal entry,Armenia,Italy,2021,5.0
Illegal entry,Armenia,Italy,2022,5.0
Illegal entry,Armenia,Italy,2023,15.0
Illegal entry,Armenia,Latvia,2023,5.0
Illegal entry,Armenia,Poland,2021,5.0
Illegal entry,Armenia,Poland,2022,90.0
Illegal entry,Armenia,Poland,2023,65.0
Illegal entry,Armenia,Slovenia,2022,5.0
Illegal entry,Armenia,Slovenia,2023,15.0
Illegal entry,Angola,Bulgaria,2023,5.0
Illegal entry,Angola,Switzerland,2020,15.0
Illegal entry,Angola,Switzerland,2021,15.0
Illegal entry,Angola,Switzerland,2022,20.0
Illegal entry,Angola,Switzerland,2023,20.0
Illegal entry,Angola,Germany,2022,145.0
Illegal entry,Angola,Germany,2023,110.0
Illegal entry,Angola,Greece,2021,10.0
Illegal entry,Angola,Greece,2022,15.0
Illegal entry,Angola,Greece,2023,30.0
Illegal entry,Angola,France,2022,20.0
Illegal entry,Angola,France,2023,15.0
Illegal entry,Angola,Croatia,2022,5.0
Illegal entry,Angola,Croatia,2023,15.0
Illegal entry,Angola,Italy,2022,10.0
Illegal entry,Angola,Poland,2023,5.0
Illegal entry,Angola,Slovenia,2022,10.0
Illegal entry,Angola,Slovenia,2023,15.0
Illegal entry,Argentina,Switzerland,2020,15.0
Illegal entry,Argentina,Switzerland,2021,20.0
Illegal entry,Argentina,Switzerland,2022,25.0
Illegal entry,Argentina,Switzerland,2023,20.0
Illegal entry,Argentina,Germany,2022,285.0
Illegal entry,Argentina,Germany,2023,205.0
Illegal entry,Argentina,Greece,2021,5.0
Illegal entry,Argentina,Greece,2023,5.0
Illegal entry,Argentina,France,2021,15.0
Illegal entry,Argentina,France,2022,20.0
Illegal entry,Argentina,France,2023,20.0
Illegal entry,Argentina,Italy,2021,30.0
Illegal entry,Argentina,Italy,2022,40.0
Illegal entry,Argentina,Italy,2023,70.0
Illegal entry,Asia,Belgium,2022,50.0
Illegal entry,Asia,Belgium,2023,25.0
Illegal entry,Asia,Bulgaria,2021,1065.0
Illegal entry,Asia,Bulgaria,2022,7705.0
Illegal entry,Asia,Bulgaria,2023,18565.0
Illegal entry,Asia,Switzerland,2020,1090.0
Illegal entry,Asia,Switzerland,2021,1250.0
Illegal entry,Asia,Switzerland,2022,1965.0
Illegal entry,Asia,Switzerland,2023,2065.0
Illegal entry,Asia,Cyprus,2023,4745.0
Illegal entry,Asia,Czechia,2021,1225.0
Illegal entry,Asia,Czechia,2022,22215.0
Illegal entry,Asia,Czechia,2023,4260.0
Illegal entry,Asia,Germany,2022,38460.0
Illegal entry,Asia,Germany,2023,52420.0
Illegal entry,Asia,Denmark,2021,55.0
Illegal entry,Asia,Denmark,2022,80.0
Illegal entry,Asia,Denmark,2023,85.0
Illegal entry,Asia,Estonia,2021,45.0
Illegal entry,Asia,Estonia,2022,100.0
Illegal entry,Asia,Estonia,2023,145.0
Illegal entry,Asia,Greece,2021,19840.0
Illegal entry,Asia,Greece,2022,29875.0
Illegal entry,Asia,Greece,2023,51505.0
Illegal entry,Asia,Finland,2021,155.0
Illegal entry,Asia,Finland,2022,110.0
Illegal entry,Asia,Finland,2023,110.0
Illegal entry,Asia,France,2021,1730.0
Illegal entry,Asia,France,2022,1560.0
Illegal entry,Asia,France,2023,1000.0
Illegal entry,Asia,Croatia,2021,9450.0
Illegal entry,Asia,Croatia,2022,30945.0
Illegal entry,Asia,Croatia,2023,42070.0
Illegal entry,Asia,Hungary,2021,66920.0
Illegal entry,Asia,Hungary,2022,133995.0
Illegal entry,Asia,Hungary,2023,88730.0
Illegal entry,Asia,Ireland,2021,5.0
Illegal entry,Asia,Ireland,2022,10.0
Illegal entry,Asia,Ireland,2023,10.0
Illegal entry,Asia,Italy,2021,24815.0
Illegal entry,Asia,Italy,2022,45860.0
Illegal entry,Asia,Italy,2023,43420.0
Illegal entry,Asia,Liechtenstein,2021,10.0
Illegal entry,Asia,Liechtenstein,2022,5.0
Illegal entry,Asia,Liechtenstein,2023,5.0
Illegal entry,Asia,Luxembourg,2023,70.0
Illegal entry,Asia,Latvia,2021,120.0
Illegal entry,Asia,Latvia,2022,225.0
Illegal entry,Asia,Latvia,2023,85.0
Illegal entry,Asia,Montenegro,2022,25.0
Illegal entry,Asia,Montenegro,2023,5.0
Illegal entry,Asia,Malta,2022,145.0
Illegal entry,Asia,Malta,2023,260.0
Illegal entry,Asia,Netherlands,2023,5.0
