geo,In thousand persons,year,Sex,Sector,workers_per_population
Austria,202.1,2014,Females,Education,2.375471127270949
Austria,309.4,2014,Females,Human health and social work activities,3.6366688113687857
Austria,30.8,2014,Females,"Arts, entertainment and recreation",0.3620213296385217
Austria,71.8,2014,Females,Other service activities,0.8439328398716188
Austria,8.5,2014,Females,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0999084838288128
Austria,3.8,2014,Females,Activities of extraterritorial organisations and bodies,0.04466496924111631
Austria,74.4,2015,Females,"Agriculture, forestry and fishing",0.8666353093783219
Austria,125.85000000000001,2015,Females,Mining and quarrying,1.4659415817911536
Austria,177.3,2015,Females,Manufacturing,2.0652478542039847
Austria,4.7,2015,Females,"Electricity, gas, steam and air conditioning supply",0.054747123038684314
Austria,5.0,2015,Females,"Water supply; sewerage, waste management and remediation activities",0.058241620253919484
Austria,48.0,2015,Females,Construction,0.5591195544376271
Austria,337.2,2015,Females,Wholesale and retail trade; repair of motor vehicles and motorcycles,3.92781486992433
Austria,45.6,2015,Females,Transportation and storage,0.5311635767157457
Austria,143.8,2015,Females,Accommodation and food service activities,1.6750289985027245
Austria,33.8,2015,Females,Information and communication,0.39371335291649573
Austria,66.3,2015,Females,Financial and insurance activities,0.7722838845669724
Austria,20.5,2015,Females,Real estate activities,0.2387906430410699
Austria,108.6,2015,Females,"Professional, scientific and technical activities",1.2650079919151311
Austria,76.0,2015,Females,Administrative and support service activities,0.8852726278595763
Austria,134.7,2015,Females,Public administration and defence; compulsory social security,1.569029249640591
Austria,198.2,2015,Females,Education,2.308697826865368
Austria,322.6,2015,Females,Human health and social work activities,3.7577493387828858
Austria,38.8,2015,Females,"Arts, entertainment and recreation",0.4519549731704152
Austria,74.4,2015,Females,Other service activities,0.8666353093783219
Austria,8.6,2015,Females,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.1001755868367415
Austria,4.0,2015,Females,Activities of extraterritorial organisations and bodies,0.04659329620313559
Austria,70.0,2016,Females,"Agriculture, forestry and fishing",0.8045541442526503
Austria,123.5,2016,Females,Mining and quarrying,1.4194633830743186
Austria,177.0,2016,Females,Manufacturing,2.034372621895987
Austria,4.1,2016,Females,"Electricity, gas, steam and air conditioning supply",0.047123885591940945
Austria,3.9,2016,Females,"Water supply; sewerage, waste management and remediation activities",0.0448251594655048
Austria,49.3,2016,Females,Construction,0.5666359901665093
Austria,336.7,2016,Females,Wholesale and retail trade; repair of motor vehicles and motorcycles,3.8699054338552474
Austria,44.7,2016,Females,Transportation and storage,0.5137652892584781
Austria,156.3,2016,Females,Accommodation and food service activities,1.7964544678098462
Austria,41.4,2016,Females,Information and communication,0.4758363081722817
Austria,62.0,2016,Females,Financial and insurance activities,0.7126050991952045
Austria,21.0,2016,Females,Real estate activities,0.24136624327579506
Austria,108.7,2016,Females,"Professional, scientific and technical activities",1.249357649718044
Austria,80.8,2016,Females,Administrative and support service activities,0.928685355080202
Austria,124.8,2016,Females,Public administration and defence; compulsory social security,1.4344051028961535
Austria,210.0,2016,Females,Education,2.413662432757951
Austria,333.9,2016,Females,Human health and social work activities,3.837723268085141
Austria,33.2,2016,Females,"Arts, entertainment and recreation",0.38158853698839984
Austria,84.6,2016,Females,Other service activities,0.9723611514824888
Austria,8.4,2016,Females,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.09654649731031803
Austria,36.95,2016,Females,Activities of extraterritorial organisations and bodies,0.42468965185907753
Austria,65.5,2017,Females,"Agriculture, forestry and fishing",0.7466204027988577
Austria,118.1,2017,Females,Mining and quarrying,1.3461964819930547
Austria,170.7,2017,Females,Manufacturing,1.9457725611872516
Austria,6.1,2017,Females,"Electricity, gas, steam and air conditioning supply",0.06953258713088598
Austria,4.7,2017,Females,"Water supply; sewerage, waste management and remediation activities",0.05357428844510887
Austria,44.1,2017,Females,Construction,0.5026864086019789
Austria,336.2,2017,Females,Wholesale and retail trade; repair of motor vehicles and motorcycles,3.8322714415416175
Austria,49.1,2017,Females,Transportation and storage,0.5596803324797543
Austria,157.1,2017,Females,Accommodation and food service activities,1.7907490882397028
Austria,38.1,2017,Females,Information and communication,0.4342936999486484
Austria,68.0,2017,Females,Financial and insurance activities,0.7751173647377453
Austria,16.5,2017,Females,Real estate activities,0.1880799487966588
Austria,112.6,2017,Females,"Professional, scientific and technical activities",1.2835031657275018
Austria,79.4,2017,Females,Administrative and support service activities,0.9050635111790732
Austria,133.0,2017,Females,Public administration and defence; compulsory social security,1.5160383751488253
Austria,215.4,2017,Females,Education,2.455298240654564
Austria,344.1,2017,Females,Human health and social work activities,3.922321841268502
Austria,31.7,2017,Females,"Arts, entertainment and recreation",0.361341477385096
Austria,90.0,2017,Females,Other service activities,1.025890629799957
Austria,9.2,2017,Females,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.10486881993510672
Austria,3.5,2017,Females,Activities of extraterritorial organisations and bodies,0.03989574671444277
Austria,60.6,2018,Females,"Agriculture, forestry and fishing",0.6868982768261265
Austria,121.39999999999999,2018,Females,Mining and quarrying,1.3760635446648801
Austria,182.2,2018,Females,Manufacturing,2.0652288125036344
Austria,4.8,2018,Females,"Electricity, gas, steam and air conditioning supply",0.05440778430305952
Austria,5.4,2018,Females,"Water supply; sewerage, waste management and remediation activities",0.061208757340941965
Austria,44.7,2018,Females,Construction,0.5066724913222418
Austria,339.1,2018,Females,Wholesale and retail trade; repair of motor vehicles and motorcycles,3.8436832619098924
Austria,56.1,2018,Females,Transportation and storage,0.6358909790420081
Austria,146.6,2018,Females,Accommodation and food service activities,1.6617044122559428
Austria,41.3,2018,Females,Information and communication,0.46813364410757463
Austria,67.9,2018,Females,Financial and insurance activities,0.7696434487870295
Austria,19.2,2018,Females,Real estate activities,0.2176311372122381
Austria,121.2,2018,Females,"Professional, scientific and technical activities",1.373796553652253
Austria,84.3,2018,Females,Administrative and support service activities,0.9555367118224828
Austria,131.2,2018,Females,Public administration and defence; compulsory social security,1.487146104283627
Austria,209.2,2018,Females,Education,2.371272599208344
Austria,355.3,2018,Females,Human health and social work activities,4.027309533932718
Austria,28.9,2018,Females,"Arts, entertainment and recreation",0.32758020132467086
Austria,82.5,2018,Females,Other service activities,0.9351337927088356
Austria,6.8,2018,Females,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.07707769442933432
Austria,4.7,2018,Females,Activities of extraterritorial organisations and bodies,0.05327428879674578
Austria,59.5,2019,Females,"Agriculture, forestry and fishing",0.6716504257078434
Austria,120.1,2019,Females,Mining and quarrying,1.3557179181094452
Austria,180.7,2019,Females,Manufacturing,2.0397854105110467
Austria,5.6,2019,Females,"Electricity, gas, steam and air conditioning supply",0.06321415771367937
Austria,4.9,2019,Females,"Water supply; sewerage, waste management and remediation activities",0.05531238799946945
Austria,46.8,2019,Females,Construction,0.5282897466071776
Austria,337.1,2019,Females,Wholesale and retail trade; repair of motor vehicles and motorcycles,3.8052665295145207
Austria,53.3,2019,Females,Transportation and storage,0.6016633225248411
Austria,159.3,2019,Females,Accommodation and food service activities,1.798217022105201
Austria,44.6,2019,Females,Information and communication,0.5034556132196607
Austria,65.9,2019,Females,Financial and insurance activities,0.7438951773806198
Austria,21.1,2019,Females,Real estate activities,0.23818191567118477
Austria,125.6,2019,Females,"Professional, scientific and technical activities",1.4178032515782373
Austria,86.8,2019,Females,Administrative and support service activities,0.9798194445620303
Austria,135.2,2019,Females,Public administration and defence; compulsory social security,1.526170379087402
Austria,211.2,2019,Females,Education,2.384076805201622
Austria,354.5,2019,Females,Human health and social work activities,4.001681948124882
Austria,33.0,2019,Females,"Arts, entertainment and recreation",0.37251200081275343
Austria,78.3,2019,Females,Other service activities,0.883869383746624
Austria,5.7,2019,Females,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0643429819585665
Austria,34.65,2019,Females,Activities of extraterritorial organisations and bodies,0.39113760085339117
Austria,63.6,2020,Females,"Agriculture, forestry and fishing",0.7145213201477936
Austria,119.5,2020,Females,Mining and quarrying,1.3425361282651154
Austria,175.4,2020,Females,Manufacturing,1.970550936382437
Austria,6.2,2020,Females,"Electricity, gas, steam and air conditioning supply",0.06965459410245786
Austria,4.8,2020,Females,"Water supply; sewerage, waste management and remediation activities",0.0539261373696448
Austria,45.9,2020,Females,Construction,0.5156686885972284
Austria,344.8,2020,Females,Wholesale and retail trade; repair of motor vehicles and motorcycles,3.873694201052818
Austria,50.4,2020,Females,Transportation and storage,0.5662244423812703
Austria,135.5,2020,Females,Accommodation and food service activities,1.5222899194972646
Austria,40.1,2020,Females,Information and communication,0.45050793927557425
Austria,71.8,2020,Females,Financial and insurance activities,0.8066451381542701
Austria,22.5,2020,Females,Real estate activities,0.25277876892021
Austria,129.8,2020,Females,"Professional, scientific and technical activities",1.4582526313708115
Austria,81.0,2020,Females,Administrative and support service activities,0.910003568112756
Austria,145.2,2020,Females,Public administration and defence; compulsory social security,1.6312656554317553
Austria,203.2,2020,Females,Education,2.2828731486482963
Austria,349.4,2020,Females,Human health and social work activities,3.925373416032061
Austria,31.8,2020,Females,"Arts, entertainment and recreation",0.3572606600738968
Austria,81.9,2020,Females,Other service activities,0.9201147188695644
Austria,4.9,2020,Females,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.05504959856484573
Austria,4.1,2020,Females,Activities of extraterritorial organisations and bodies,0.04606190900323826
Austria,62.3,2021,Females,"Agriculture, forestry and fishing",0.6974403156773836
Austria,126.4,2021,Females,Mining and quarrying,1.4150313948895872
Austria,190.5,2021,Females,Manufacturing,2.1326224741017907
Austria,6.3,2021,Females,"Electricity, gas, steam and air conditioning supply",0.07052767237187024
Austria,3.8,2021,Females,"Water supply; sewerage, waste management and remediation activities",0.04254050079573126
Austria,43.2,2021,Females,Construction,0.4836183248356817
Austria,338.1,2021,Females,Wholesale and retail trade; repair of motor vehicles and motorcycles,3.7849850839570367
Austria,52.0,2021,Females,Transportation and storage,0.5821331687836909
Austria,123.2,2021,Females,Accommodation and food service activities,1.3792078152721294
Austria,44.3,2021,Females,Information and communication,0.4959326803291829
Austria,64.5,2021,Females,Financial and insurance activities,0.7220690266643859
Austria,19.2,2021,Females,Real estate activities,0.21494147770474742
Austria,127.9,2021,Females,"Professional, scientific and technical activities",1.4318236978352705
Austria,78.5,2021,Females,Administrative and support service activities,0.8787971874907643
Austria,152.9,2021,Females,Public administration and defence; compulsory social security,1.7116954135966607
Austria,207.5,2021,Females,Education,2.322935240819536
Austria,362.9,2021,Females,Human health and social work activities,4.062617825992335
Austria,32.0,2021,Females,"Arts, entertainment and recreation",0.35823579617457907
Austria,69.9,2021,Females,Other service activities,0.7825213172688462
Austria,4.3,2021,Females,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.04813793511095906
Austria,3.4,2021,Females,Activities of extraterritorial organisations and bodies,0.03806255334354902
Austria,61.4,2022,Females,"Agriculture, forestry and fishing",0.6838232043042104
Austria,131.25,2022,Females,Mining and quarrying,1.4617556280932837
Austria,201.1,2022,Females,Manufacturing,2.239688051882357
Austria,6.7,2022,Females,"Electricity, gas, steam and air conditioning supply",0.07461914444361906
Austria,4.3,2022,Females,"Water supply; sewerage, waste management and remediation activities",0.04788989867277044
Austria,53.9,2022,Females,Construction,0.6002943112703085
Austria,329.6,2022,Females,Wholesale and retail trade; repair of motor vehicles and motorcycles,3.670816419196543
Austria,48.9,2022,Females,Transportation and storage,0.5446083825810405
Austria,142.4,2022,Females,Accommodation and food service activities,1.5859352490703513
Austria,54.6,2022,Females,Information and communication,0.6080903412868061
Austria,70.7,2022,Females,Financial and insurance activities,0.7873990316662489
Austria,21.2,2022,Females,Real estate activities,0.2361083376424961
Austria,132.0,2022,Females,"Professional, scientific and technical activities",1.470108517396674
Austria,88.0,2022,Females,Administrative and support service activities,0.9800723449311161
Austria,147.9,2022,Females,Public administration and defence; compulsory social security,1.6471897706285459
Austria,203.1,2022,Females,Education,2.261962423358064
Austria,372.4,2022,Females,Human health and social work activities,4.1474879687766775
Austria,36.1,2022,Females,"Arts, entertainment and recreation",0.4020524051365146
