geo,year,EU,Ukraine,national,non_EU,foreigners,foreigners_pop_share,non_EU_pop_share,ukraine_pop_share,ukraine_for_share,non_EU_for_share,iso_a3
Poland,2004,0.0,0.0,8253.0,1242.0,1242.0,0.003252108476513388,0.003252108476513388,0.0,0.0,100.0,POL
Poland,2005,0.0,0.0,8228.0,1136.0,1136.0,0.0029758602980287413,0.0029758602980287413,0.0,0.0,100.0,POL
Poland,2006,367.0,609.0,8978.0,3251.0,3618.0,0.009481863838810412,0.008520049568814993,0.0015960351237798618,16.832504145936984,89.85627418463238,POL
Poland,2007,185.0,678.0,13384.0,3029.0,3214.0,0.00843005801973006,0.007944818214611809,0.0017783383128117552,21.095208462974487,94.24393279402614,POL
Poland,2009,0.0,0.0,142348.0,57325.0,57325.0,0.15031777426589074,0.15031777426589074,0.0,0.0,100.0,POL
Poland,2010,0.0,0.0,107378.0,54178.0,54178.0,0.14248793272280427,0.14248793272280427,0.0,0.0,100.0,POL
Poland,2011,0.0,0.0,101945.0,61902.0,61902.0,0.1626315808555763,0.1626315808555763,0.0,0.0,100.0,POL
Poland,2012,0.0,0.0,135910.0,92271.0,92271.0,0.24241147597695994,0.24241147597695994,0.0,0.0,100.0,POL
Poland,2013,0.0,0.0,131431.0,104027.0,104027.0,0.27330549581103836,0.27330549581103836,0.0,0.0,100.0,POL
Poland,2014,0.0,0.0,127780.0,102435.0,102435.0,0.2694391814204357,0.2694391814204357,0.0,0.0,100.0,POL
Poland,2015,0.0,0.0,84784.0,145554.0,145554.0,0.3829802618107946,0.3829802618107946,0.0,0.0,100.0,POL
Poland,2016,0.0,0.0,105422.0,115181.0,115181.0,0.3033696788194255,0.3033696788194255,0.0,0.0,100.0,POL
Poland,2017,0.0,0.0,132788.0,81703.0,81703.0,0.21516097610921286,0.21516097610921286,0.0,0.0,100.0,POL
Poland,2018,0.0,0.0,118417.0,99862.0,99862.0,0.26295606038515157,0.26295606038515157,0.0,0.0,100.0,POL
Poland,2019,0.0,0.0,111871.0,118902.0,118902.0,0.31312403200479333,0.31312403200479333,0.0,0.0,100.0,POL
Poland,2020,0.0,0.0,52175.0,161118.0,161118.0,0.42446233795767324,0.42446233795767324,0.0,0.0,100.0,POL
Poland,2021,0.0,0.0,43385.0,205521.0,205521.0,0.5543630699534439,0.5543630699534439,0.0,0.0,100.0,POL
Poland,2022,0.0,956760.0,82090.0,1159979.0,1159979.0,3.1444470458889664,3.1444470458889664,2.5935651900807923,82.48080353178807,100.0,POL
Poland,2023,0.0,0.0,82680.0,230057.0,230057.0,0.6259418090177281,0.6259418090177281,0.0,0.0,100.0,POL
Portugal,2008,0.0,947.0,9586.0,23708.0,23708.0,0.2246492792470705,0.2246492792470705,0.008973463280199755,3.9944322591530286,100.0,PRT
Portugal,2009,0.0,0.0,17883.0,14424.0,14424.0,0.1365519348928251,0.1365519348928251,0.0,0.0,100.0,PRT
Portugal,2010,0.0,0.0,19222.0,8353.0,8353.0,0.07899954215637067,0.07899954215637067,0.0,0.0,100.0,PRT
Portugal,2011,0.0,0.0,11437.0,7383.0,7383.0,0.06983065192016322,0.06983065192016322,0.0,0.0,100.0,PRT
Portugal,2012,0.0,0.0,9491.0,5177.0,5177.0,0.04902949630408327,0.04902949630408327,0.0,0.0,100.0,PRT
Portugal,2013,0.0,0.0,12198.0,5559.0,5559.0,0.052923255377127464,0.052923255377127464,0.0,0.0,100.0,PRT
