geo,quarter,Country of citizenship,Sex,unemployment_rate,employment_rate
Estonia,2003-Q2,Reporting country,Females,8.456167571761055,60.337337081523124
Estonia,2003-Q2,Reporting country,Males,11.086556169429098,66.87898089171973
Estonia,2003-Q2,Reporting country,Total,9.784661881375142,63.46358320042531
Estonia,2003-Q2,Total,Females,10.731244064577398,59.094719195305956
Estonia,2003-Q2,Total,Males,12.429378531073446,65.94267801164352
Estonia,2003-Q2,Total,Total,11.60686905857099,62.405282528685866
Estonia,2003-Q3,Foreign country,Females,0.0,50.3448275862069
Estonia,2003-Q3,Foreign country,Males,0.0,62.295081967213115
Estonia,2003-Q3,Foreign country,Total,21.49532710280374,56.470588235294116
Estonia,2003-Q3,Reporting country,Females,7.162110127069697,61.93167223221165
Estonia,2003-Q3,Reporting country,Males,8.94279507603186,68.27810972297664
Estonia,2003-Q3,Reporting country,Total,8.081373646883165,65.02111932418163
Estonia,2003-Q3,Total,Females,10.08717310087173,60.367892976588635
Estonia,2003-Q3,Total,Males,9.997051017398997,68.08748047310868
Estonia,2003-Q3,Total,Total,10.04089050431622,64.11225040474906
Estonia,2003-Q4,Foreign country,Females,0.0,56.11285266457679
Estonia,2003-Q4,Foreign country,Males,0.0,63.862928348909655
Estonia,2003-Q4,Foreign country,Total,16.375545851528386,60.0
Estonia,2003-Q4,Reporting country,Females,7.526881720430109,62.415759460860556
Estonia,2003-Q4,Reporting country,Males,7.4324324324324325,68.5761957730812
Estonia,2003-Q4,Reporting country,Total,7.4791192103265,65.38771129594848
Estonia,2003-Q4,Total,Females,10.195227765726681,60.71653048397234
Estonia,2003-Q4,Total,Males,8.771929824561402,67.5930076199014
Estonia,2003-Q4,Total,Total,9.47642375995101,64.0281537628587
Estonia,2004-Q1,Foreign country,Females,0.0,54.63917525773196
Estonia,2004-Q1,Foreign country,Males,21.538461538461537,62.38532110091742
Estonia,2004-Q1,Foreign country,Total,19.867549668874172,58.7378640776699
Estonia,2004-Q1,Reporting country,Females,7.4981160512434055,63.14300411522633
Estonia,2004-Q1,Reporting country,Males,9.195402298850574,66.26573426573427
Estonia,2004-Q1,Reporting country,Total,8.358662613981762,64.63888516682299
Estonia,2004-Q1,Total,Females,9.32626325639426,61.21288692356286
Estonia,2004-Q1,Total,Males,11.780990464472469,64.84286683246665
Estonia,2004-Q1,Total,Total,10.562180579216355,62.97023225384364
Estonia,2004-Q2,Foreign country,Females,29.05027932960894,47.03703703703703
Estonia,2004-Q2,Foreign country,Males,0.0,61.129568106312284
Estonia,2004-Q2,Foreign country,Total,21.85929648241206,54.46584938704028
Estonia,2004-Q2,Reporting country,Females,6.7726068861142625,62.82508924018359
Estonia,2004-Q2,Reporting country,Males,10.128983308042487,65.82383995554322
Estonia,2004-Q2,Reporting country,Total,8.44856980488729,64.2600717989629
Estonia,2004-Q2,Total,Females,9.153175591531756,61.34118141685937
Estonia,2004-Q2,Total,Males,12.029161603888214,65.1225545311446
Estonia,2004-Q2,Total,Total,10.608856088560886,63.17905258583225
Estonia,2004-Q3,Foreign country,Females,23.18181818181818,51.99999999999999
Estonia,2004-Q3,Foreign country,Males,0.0,54.276315789473685
Estonia,2004-Q3,Foreign country,Total,22.505800464037122,53.10015898251193
Estonia,2004-Q3,Reporting country,Females,6.331618519984171,63.15368196371398
Estonia,2004-Q3,Reporting country,Males,9.266995822255982,67.1633398931684
Estonia,2004-Q3,Reporting country,Total,7.829457364341084,65.11500547645126
Estonia,2004-Q3,Total,Females,9.468386284995283,60.589473684210525
Estonia,2004-Q3,Total,Males,11.944777911164465,66.10322289835476
Estonia,2004-Q3,Total,Total,10.737327188940093,63.25242190051159
Estonia,2004-Q4,Foreign country,Females,0.0,53.16901408450705
Estonia,2004-Q4,Foreign country,Males,22.8,60.88328075709779
Estonia,2004-Q4,Foreign country,Total,20.04662004662005,57.071547420965054
Estonia,2004-Q4,Reporting country,Females,6.141045958795562,62.41433842909858
Estonia,2004-Q4,Reporting country,Males,7.677616501145914,67.25097384529772
Estonia,2004-Q4,Reporting country,Total,6.924722816572651,64.7671900378993
Estonia,2004-Q4,Total,Females,9.701017811704835,59.755840875605124
Estonia,2004-Q4,Total,Males,9.71200980392157,66.67420814479638
Estonia,2004-Q4,Total,Total,9.70661672908864,63.08329699084169
Estonia,2005-Q1,Foreign country,Females,0.0,56.29139072847682
Estonia,2005-Q1,Foreign country,Males,23.642172523961662,65.65934065934066
Estonia,2005-Q1,Foreign country,Total,19.960861056751465,61.31934032983508
Estonia,2005-Q1,Reporting country,Females,5.805243445692884,64.10910017843487
Estonia,2005-Q1,Reporting country,Males,9.699505515405098,64.81026481026481
Estonia,2005-Q1,Reporting country,Total,7.737308926212494,64.44766675454785
Estonia,2005-Q1,Total,Females,7.613104524180966,62.57396449704142
Estonia,2005-Q1,Total,Males,11.886384686631677,64.48260280162674
Estonia,2005-Q1,Total,Total,9.761018001241466,63.49639659314261
Estonia,2005-Q2,Foreign country,Females,0.0,51.74418604651163
Estonia,2005-Q2,Foreign country,Males,0.0,70.15706806282722
Estonia,2005-Q2,Foreign country,Total,16.945996275605214,61.432506887052355
Estonia,2005-Q2,Reporting country,Females,4.5821114369501466,66.38612598826829
Estonia,2005-Q2,Reporting country,Males,9.438377535101404,64.90492170022371
Estonia,2005-Q2,Reporting country,Total,6.934996220710507,65.69294384420434
Estonia,2005-Q2,Total,Females,6.353591160220994,64.5775989836968
Estonia,2005-Q2,Total,Males,10.79754601226994,65.7026660641663
Estonia,2005-Q2,Total,Total,8.59159251304081,65.11475409836065
Estonia,2005-Q3,Foreign country,Females,0.0,50.0
Estonia,2005-Q3,Foreign country,Males,0.0,71.37546468401487
Estonia,2005-Q3,Foreign country,Total,0.0,60.32315978456014
Estonia,2005-Q3,Reporting country,Females,5.827418752334703,63.73292867981791
Estonia,2005-Q3,Reporting country,Males,6.26230799527373,67.28866270851003
Estonia,2005-Q3,Reporting country,Total,6.058282208588957,65.42056074766354
Estonia,2005-Q3,Total,Females,7.5400565504241275,62.11481637821866
Estonia,2005-Q3,Total,Males,6.96594427244582,68.29545454545455
Estonia,2005-Q3,Total,Total,7.250896616248246,65.09082950317357
Estonia,2005-Q4,Foreign country,Females,0.0,63.96761133603239
Estonia,2005-Q4,Foreign country,Males,0.0,62.951807228915655
Estonia,2005-Q4,Foreign country,Total,0.0,63.385146804835934
Estonia,2005-Q4,Reporting country,Females,5.150055576139311,63.87225548902195
Estonia,2005-Q4,Reporting country,Males,5.951478392721758,68.59275642797898
Estonia,2005-Q4,Reporting country,Total,5.546186996439947,66.11591922370836
Estonia,2005-Q4,Total,Females,6.940553999377529,63.0801687763713
Estonia,2005-Q4,Total,Males,7.776427703523694,68.37837837837839
Estonia,2005-Q4,Total,Total,7.362434675683984,65.64270152505446
Estonia,2006-Q1,Foreign country,Females,0.0,59.25925925925925
Estonia,2006-Q1,Foreign country,Males,0.0,71.31367292225202
Estonia,2006-Q1,Foreign country,Total,14.084507042253518,66.40746500777605
Estonia,2006-Q1,Reporting country,Females,4.568713450292397,65.79345088161209
Estonia,2006-Q1,Reporting country,Males,6.444444444444445,69.90318118948824
Estonia,2006-Q1,Reporting country,Total,5.481972038263429,67.74789029535864
Estonia,2006-Q1,Total,Females,5.661538461538461,65.1370299553856
Estonia,2006-Q1,Total,Males,7.824033067611456,70.15059563946954
Estonia,2006-Q1,Total,Total,6.765104715986138,67.5840978593272
Estonia,2006-Q2,Foreign country,Females,0.0,57.00000000000001
Estonia,2006-Q2,Foreign country,Males,0.0,73.13432835820896
