border,unit,reason,citizen,geo,TIME_PERIOD,OBS_VALUE
Total,Person,Total,Total,Finland,2017,1400
Total,Person,Total,Total,Finland,2018,1760
Total,Person,Total,Total,Finland,2019,1775
Total,Person,Total,Total,Finland,2020,1735
Total,Person,Total,Total,Finland,2021,1180
Total,Person,Total,Total,Finland,2022,3985
Total,Person,Total,Total,Finland,2023,2225
Total,Person,Total,Total,France,2014,11030
Total,Person,Total,Total,France,2015,10860
Total,Person,Total,Total,France,2016,8580
Total,Person,Total,Total,France,2017,10215
Total,Person,Total,Total,France,2018,9515
Total,Person,Total,Total,France,2019,9880
Total,Person,Total,Total,France,2020,4240
Total,Person,Total,Total,France,2021,8210
Total,Person,Total,Total,France,2022,9180
Total,Person,Total,Total,France,2023,9650
Total,Person,Total,Total,Croatia,2014,8645
Total,Person,Total,Total,Croatia,2015,9355
Total,Person,Total,Total,Croatia,2016,9135
Total,Person,Total,Total,Croatia,2017,10015
Total,Person,Total,Total,Croatia,2018,13240
Total,Person,Total,Total,Croatia,2019,13025
Total,Person,Total,Total,Croatia,2020,14710
Total,Person,Total,Total,Croatia,2021,14190
Total,Person,Total,Total,Croatia,2022,11800
Total,Person,Total,Total,Croatia,2023,10900
Total,Person,Total,Total,Hungary,2014,13325
Total,Person,Total,Total,Hungary,2015,11505
Total,Person,Total,Total,Hungary,2016,9905
Total,Person,Total,Total,Hungary,2017,14010
Total,Person,Total,Total,Hungary,2018,15050
Total,Person,Total,Total,Hungary,2019,14240
Total,Person,Total,Total,Hungary,2020,36500
Total,Person,Total,Total,Hungary,2021,34650
Total,Person,Total,Total,Hungary,2022,15780
Total,Person,Total,Total,Hungary,2023,12575
Total,Person,Total,Total,Ireland,2014,2475
Total,Person,Total,Total,Ireland,2015,3450
Total,Person,Total,Total,Ireland,2016,3950
Total,Person,Total,Total,Ireland,2017,3745
Total,Person,Total,Total,Ireland,2018,4795
Total,Person,Total,Total,Ireland,2019,7455
Total,Person,Total,Total,Ireland,2020,2790
Total,Person,Total,Total,Ireland,2021,3725
Total,Person,Total,Total,Ireland,2022,9240
Total,Person,Total,Total,Ireland,2023,7405
