reason,apprehen,citizen,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Malta,2021,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Malta,2022,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Malta,2023,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Netherlands,2021,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Netherlands,2022,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Netherlands,2023,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Norway,2021,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Norway,2022,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Poland,2021,2890
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Poland,2022,20
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Poland,2023,10
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Portugal,2021,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Portugal,2022,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Portugal,2023,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Romania,2021,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Romania,2022,1775
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Romania,2023,765
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Sweden,2021,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Sweden,2022,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Sweden,2023,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Slovenia,2021,7865
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Slovenia,2022,29655
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Slovenia,2023,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Slovakia,2021,190
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Slovakia,2022,530
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Slovakia,2023,650
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Austria,2021,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Austria,2022,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Belgium,2021,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Belgium,2022,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Belgium,2023,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Bulgaria,2021,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Bulgaria,2022,55
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Bulgaria,2023,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Switzerland,2020,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Switzerland,2021,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Switzerland,2022,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Switzerland,2023,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Cyprus,2021,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Cyprus,2022,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Cyprus,2023,15
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Czechia,2021,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Czechia,2022,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Czechia,2023,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Germany,2021,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Germany,2022,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Germany,2023,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Denmark,2021,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Denmark,2022,5
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Denmark,2023,5
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Estonia,2021,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Estonia,2022,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Estonia,2023,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Greece,2021,4800
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Greece,2022,13105
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Greece,2023,41715
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Spain,2021,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Spain,2022,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Spain,2023,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,European Union - 27 countries (from 2020),2021,72285
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,European Union - 27 countries (from 2020),2023,199475
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Finland,2021,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Finland,2022,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Finland,2023,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,France,2023,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Croatia,2021,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Croatia,2022,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Croatia,2023,80
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Hungary,2021,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Hungary,2022,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Hungary,2023,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Ireland,2019,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Ireland,2020,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Ireland,2021,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Ireland,2022,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Ireland,2023,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Iceland,2021,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Italy,2021,67475
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Italy,2022,105130
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Italy,2023,157650
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Liechtenstein,2021,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Liechtenstein,2022,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Liechtenstein,2023,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Lithuania,2021,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Lithuania,2022,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Lithuania,2023,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Luxembourg,2021,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Luxembourg,2022,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Luxembourg,2023,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Latvia,2021,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Latvia,2022,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Latvia,2023,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Montenegro,2021,5
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Montenegro,2022,15
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Montenegro,2023,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Malta,2021,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Malta,2022,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Malta,2023,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Netherlands,2021,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Netherlands,2022,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Netherlands,2023,5
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Norway,2021,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Norway,2022,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Poland,2021,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Poland,2022,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Poland,2023,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Portugal,2021,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Portugal,2022,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Portugal,2023,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Romania,2021,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Romania,2022,160
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Romania,2023,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Sweden,2021,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Sweden,2022,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Sweden,2023,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Slovenia,2021,5
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Slovenia,2022,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Slovenia,2023,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Slovakia,2021,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Slovakia,2022,0
Illegal entry,Between border crossing points - at sea,Total,Total,Total,Person,Slovakia,2023,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Austria,2021,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Austria,2022,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Belgium,2021,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Belgium,2022,110
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Belgium,2023,30
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Bulgaria,2021,210
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Bulgaria,2022,935
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Bulgaria,2023,535
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Switzerland,2020,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Switzerland,2021,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Switzerland,2022,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Switzerland,2023,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Cyprus,2021,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Cyprus,2022,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Cyprus,2023,45
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Czechia,2021,5
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Czechia,2022,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Czechia,2023,355
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Germany,2021,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Germany,2022,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Germany,2023,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Denmark,2021,5
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Denmark,2022,25
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Denmark,2023,85
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Estonia,2021,20
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Estonia,2022,100
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Estonia,2023,80
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Greece,2021,30
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Greece,2022,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Greece,2023,100
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Spain,2021,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Spain,2022,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Spain,2023,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,European Union - 27 countries (from 2020),2023,12925
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Finland,2021,5
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Finland,2022,40
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Finland,2023,20
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,France,2021,895
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,France,2022,1640
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,France,2023,1900
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Croatia,2021,1615
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Croatia,2022,1280
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Croatia,2023,430
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Hungary,2021,1110
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Hungary,2022,605
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Hungary,2023,130
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Ireland,2019,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Ireland,2020,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Ireland,2021,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Ireland,2022,5
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Ireland,2023,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Iceland,2021,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Italy,2021,1805
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Italy,2022,2495
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Italy,2023,6565
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Liechtenstein,2021,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Liechtenstein,2022,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Liechtenstein,2023,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Lithuania,2021,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Lithuania,2022,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Lithuania,2023,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Luxembourg,2021,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Luxembourg,2022,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Luxembourg,2023,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Latvia,2021,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Latvia,2022,45
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Latvia,2023,20
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Montenegro,2021,5
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Montenegro,2022,20
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Montenegro,2023,5
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Malta,2021,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Malta,2022,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Malta,2023,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Netherlands,2021,100
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Netherlands,2022,40
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Netherlands,2023,50
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Norway,2021,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Norway,2022,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Poland,2021,10
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Poland,2022,2165
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Poland,2023,2275
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Portugal,2021,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Portugal,2022,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Portugal,2023,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Romania,2021,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Romania,2022,150
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Romania,2023,295
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Sweden,2021,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Sweden,2022,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Sweden,2023,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Slovenia,2021,305
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Slovenia,2022,145
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Slovenia,2023,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Slovakia,2021,0
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Slovakia,2022,10
Illegal entry,"At the border crossing point – at sea, land, air",Total,Total,Total,Person,Slovakia,2023,0
Illegal entry,In the external border area,Total,Total,Total,Person,Austria,2021,0
Illegal entry,In the external border area,Total,Total,Total,Person,Austria,2022,0
Illegal entry,In the external border area,Total,Total,Total,Person,Belgium,2021,0
Illegal entry,In the external border area,Total,Total,Total,Person,Belgium,2022,110
Illegal entry,In the external border area,Total,Total,Total,Person,Belgium,2023,30
Illegal entry,In the external border area,Total,Total,Total,Person,Bulgaria,2021,1090
Illegal entry,In the external border area,Total,Total,Total,Person,Bulgaria,2022,6635
Illegal entry,In the external border area,Total,Total,Total,Person,Bulgaria,2023,4330
Illegal entry,In the external border area,Total,Total,Total,Person,Switzerland,2020,0
Illegal entry,In the external border area,Total,Total,Total,Person,Switzerland,2021,0
Illegal entry,In the external border area,Total,Total,Total,Person,Switzerland,2022,0
Illegal entry,In the external border area,Total,Total,Total,Person,Switzerland,2023,0
Illegal entry,In the external border area,Total,Total,Total,Person,Cyprus,2021,0
Illegal entry,In the external border area,Total,Total,Total,Person,Cyprus,2022,0
Illegal entry,In the external border area,Total,Total,Total,Person,Cyprus,2023,5730
Illegal entry,In the external border area,Total,Total,Total,Person,Czechia,2021,5
Illegal entry,In the external border area,Total,Total,Total,Person,Czechia,2022,0
Illegal entry,In the external border area,Total,Total,Total,Person,Czechia,2023,355
Illegal entry,In the external border area,Total,Total,Total,Person,Germany,2021,0
Illegal entry,In the external border area,Total,Total,Total,Person,Germany,2022,0
Illegal entry,In the external border area,Total,Total,Total,Person,Germany,2023,0
Illegal entry,In the external border area,Total,Total,Total,Person,Denmark,2021,5
Illegal entry,In the external border area,Total,Total,Total,Person,Denmark,2022,25
Illegal entry,In the external border area,Total,Total,Total,Person,Denmark,2023,90
Illegal entry,In the external border area,Total,Total,Total,Person,Estonia,2021,25
Illegal entry,In the external border area,Total,Total,Total,Person,Estonia,2022,105
Illegal entry,In the external border area,Total,Total,Total,Person,Estonia,2023,90
Illegal entry,In the external border area,Total,Total,Total,Person,Greece,2021,10870
Illegal entry,In the external border area,Total,Total,Total,Person,Greece,2022,20265
Illegal entry,In the external border area,Total,Total,Total,Person,Greece,2023,49435
Illegal entry,In the external border area,Total,Total,Total,Person,Spain,2021,0
Illegal entry,In the external border area,Total,Total,Total,Person,Spain,2022,0
Illegal entry,In the external border area,Total,Total,Total,Person,Spain,2023,0
Illegal entry,In the external border area,Total,Total,Total,Person,European Union - 27 countries (from 2020),2023,333405
Illegal entry,In the external border area,Total,Total,Total,Person,Finland,2021,5
Illegal entry,In the external border area,Total,Total,Total,Person,Finland,2022,40
Illegal entry,In the external border area,Total,Total,Total,Person,Finland,2023,35
Illegal entry,In the external border area,Total,Total,Total,Person,France,2021,895
Illegal entry,In the external border area,Total,Total,Total,Person,France,2022,1640
Illegal entry,In the external border area,Total,Total,Total,Person,France,2023,1900
Illegal entry,In the external border area,Total,Total,Total,Person,Croatia,2021,2775
Illegal entry,In the external border area,Total,Total,Total,Person,Croatia,2022,12960
Illegal entry,In the external border area,Total,Total,Total,Person,Croatia,2023,12670
Illegal entry,In the external border area,Total,Total,Total,Person,Hungary,2021,62405
Illegal entry,In the external border area,Total,Total,Total,Person,Hungary,2022,133205
Illegal entry,In the external border area,Total,Total,Total,Person,Hungary,2023,90440
Illegal entry,In the external border area,Total,Total,Total,Person,Ireland,2019,0
Illegal entry,In the external border area,Total,Total,Total,Person,Ireland,2020,0
Illegal entry,In the external border area,Total,Total,Total,Person,Ireland,2021,0
